id,source_area,risk,definition_or_state,use_or_branch,assignment_test,oracle,status
WB-OBL-001,primitive writer dispatch,singleton tags regress or are misread,object identity for None True False StopIteration Ellipsis,type tag branch in w_object and reader dispatch,tests/test_source_informed_marshal.py::test_wb1_primitive_singleton_type_dispatch,deterministic SHA-256 and round-trip equivalence,covered by assignment-specific test
WB-OBL-002,integer encoding,wrong boundary classification around compact and long encodings,integer magnitude and sign,integer writer branch and reader reconstruction,tests/test_source_informed_marshal.py::test_wb2_integer_encoding_boundaries,deterministic SHA-256 and exact integer round-trip,covered by assignment-specific test
WB-OBL-003,float and complex encoding,special bit patterns are lost or normalized incorrectly,float bit pattern including NaN Inf -0.0 and subnormal,binary float and complex writer-reader paths,tests/test_source_informed_marshal.py::test_wb3_float_paths;tests/test_source_informed_marshal.py::test_wb3_complex_paths,NaN-aware equivalence and -0.0 sign preservation,covered by assignment-specific test
WB-OBL-004,text bytes and buffer paths,length or UTF-8 payload handling changes,string length bytes length and buffer-like input state,string bytes and buffer writer branches,tests/test_source_informed_marshal.py::test_wb4_string_bytes_and_buffer_paths,deterministic digest and stable supported value or stable exception type,covered by assignment-specific test
WB-OBL-005,container writer loops,length boundaries and nested iteration regress,container length and element sequence,tuple list dict set frozenset writer loops,tests/test_source_informed_marshal.py::test_wb5_container_writer_paths,round-trip equivalence and same-process digest determinism,covered by assignment-specific test
WB-OBL-006,reference table state,recursive or shared objects lose identity,reference table entry and reuse state,TYPE_REF handling for recursive and repeated containers,tests/test_source_informed_marshal.py::test_wb6_reference_tracking_and_recursive_structures,identity checks such as loaded[0] is loaded and shared child reuse,covered by assignment-specific test
WB-OBL-007,code object path,code bytes are accepted when disallowed or rejected when allowed,code-object value and allow_code flag,code-object writer-reader branch and rejection branch,tests/test_source_informed_marshal.py::test_wb7_code_object_roundtrip;tests/test_source_informed_marshal.py::test_wb7_allow_code_false_rejects_code_objects_when_supported,code object equivalence and stable ValueError for allow_code False,covered or feature-skipped by runtime
WB-OBL-008,reader tag dispatch,invalid or truncated byte streams crash or misdispatch,input type tag and stream position,reader dispatch error branches and trailing byte behavior,tests/test_source_informed_marshal.py::test_wb8_reader_dispatch_invalid_and_edge_streams,stable exception type or stable documented observation,covered by assignment-specific test
WB-OBL-009,marshal format version,version-specific writer behavior is assumed universal,format version integer,version-controlled writer behavior and reference support,tests/test_source_informed_marshal.py::test_wb9_supported_marshal_format_versions,deterministic bytes within each accepted version and no cross-version byte-equality claim,covered by assignment-specific test
WB-OBL-010,unordered iteration,hash-seeded order changes are hidden,set frozenset and string-key dict iteration state,unordered container serialization order under child process hash seeds,tests/test_source_informed_marshal.py::test_wb10_cross_process_hash_seed_digest_observations,child process success and valid SHA-256 digest classes recorded,covered by assignment-specific test
